reaction_id,reaction_smiles
ord-23579b28ef824d8ba8083ac0e9a7b70a,CNC(=O)c1ccccc1Nc1cc(Cl)ncc1Cl.Cc1nn(C)cc1N>C1CCCC1.CC(=O)O.CC(=O)O.CC(C)(C)[O-].CC(C1CCCC1P(C1CCCCC1)C1CCCCC1)P(C(C)(C)C)C(C)(C)C.COCCOC.[Fe].[Na+].[Pd]>CNC(=O)c1ccccc1Nc1cc(Nc2cn(C)nc2C)ncc1Cl
ord-0eb7fc5c164b43bc9a05a46e98a37b12,COc1cccc2sc(N)nc12.Ic1ccccc1>CC(C)(C)[O-].CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.Cc1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Na+].[Pd].[Pd]>COc1cccc2sc(Nc3ccccc3)nc12
ord-af3871564adb47f28d81d03aed7b6196,CC(C)(C)OC(=O)NC1CCNCC1.Clc1ccc2nccc(Cl)c2c1>CC(=O)N(C)C.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>NC1CCN(c2ccnc3ccc(Cl)cc23)CC1
ord-203f818b7f344d11a82d6bc3539ff565,Clc1ccnc(Cl)c1.Nc1ccccc1>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>Clc1ccnc(Nc2ccccc2)c1
ord-208592f898674435bb2768eefbc02bfd,CNC(=O)c1ccccc1Nc1cc(Cl)ncc1C(F)(F)F.Cn1nccc1N>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CNC(=O)c1ccccc1Nc1cc(Nc2ccnn2C)ncc1C(F)(F)F
ord-f216b4e86bcc4a2b8660bf0c5e130be5,CNC(=O)c1ccccc1N.FC(F)(F)c1cnc(Cl)cc1I>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CNC(=O)c1ccccc1Nc1cc(Cl)ncc1C(F)(F)F
ord-57be3c43ca2f40d482cab5a1bd42b5d5,CC(=O)N1CCNCC1.Cc1c(Br)cccc1[N+](=O)[O-]>CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.Cc1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CC(=O)N1CCN(c2cccc([N+](=O)[O-])c2C)CC1
ord-2bb50d74d5eb4051be498e22a50f1370,CNC(=O)c1cc(F)ccc1N.Clc1cc(I)c(Cl)cn1>C1COCCO1.CC(=O)O.CC(=O)O.CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.O=C([O-])[O-].[Cs+].[Cs+].[Pd]>CNC(=O)c1cc(F)ccc1Nc1cc(Cl)ncc1Cl
ord-2d4104aef43247ff855d465ce3910528,N#Cc1ccc(N)cc1.O=C(NC1CCCCC1)c1ccc(Cl)nc1>C1COCCO1.CC(C)(C)[O-].O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[K+].[Pd].[Pd].c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1>N#Cc1ccc(Nc2ccc(C(=O)NC3CCCCC3)cn2)cc1
ord-f86ba050900b4317a90d58cd76e4f1c2,CONC(=O)c1ccccc1Nc1cc(Cl)ncc1C(F)(F)F.Cc1nn(C)cc1N>C1CCCC1.CC(=O)O.CC(=O)O.CC(C1CCCC1P(C1CCCCC1)C1CCCCC1)P(C(C)(C)C)C(C)(C)C.COCCOC.O=C([O-])[O-].[Cs+].[Cs+].[Fe].[Pd]>CONC(=O)c1ccccc1Nc1cc(Nc2cn(C)nc2C)ncc1C(F)(F)F
